route, team, site, zone
1a, 1, brooklyn_site, brooklyn
1b, 1, brooklyn_site, brooklyn
1c, 1, brooklyn_site, brooklyn
1d, 1, brooklyn_site, brooklyn
1e, 1, brooklyn_site, brooklyn
1f, 1, brooklyn_site, brooklyn
2a, 2, brooklyn_site, brooklyn
2b, 2, brooklyn_site, brooklyn
2c, 2, brooklyn_site, brooklyn
2d, 2, brooklyn_site, brooklyn
3a, 3, brooklyn_site, brooklyn
3b, 3, brooklyn_site, brooklyn
3c, 3, brooklyn_site, brooklyn
3d, 3, brooklyn_site, brooklyn
3e, 3, brooklyn_site, brooklyn
3f, 3, brooklyn_site, brooklyn
3g, 3, brooklyn_site, brooklyn
3h, 3, brooklyn_site, brooklyn
4a, 4, brooklyn_site, brooklyn
4b, 4, brooklyn_site, brooklyn
4c, 4, brooklyn_site, brooklyn
4d, 4, brooklyn_site, brooklyn
4e, 4, brooklyn_site, brooklyn
5a, 5, brooklyn_site, brooklyn
5b, 5, brooklyn_site, brooklyn
5c, 5, brooklyn_site, brooklyn
5d, 5, brooklyn_site, brooklyn
5e, 5, brooklyn_site, brooklyn
5f, 5, brooklyn_site, brooklyn
6a, 6, brooklyn_site, brooklyn
6b, 6, brooklyn_site, brooklyn
6c, 6, brooklyn_site, brooklyn
6d, 6, brooklyn_site, brooklyn
6e, 6, brooklyn_site, brooklyn
7a, 7, brooklyn_site, brooklyn
7b, 7, brooklyn_site, brooklyn
7c, 7, brooklyn_site, brooklyn
7d, 7, brooklyn_site, brooklyn
8a, 8, brooklyn_site, brooklyn
8b, 8, brooklyn_site, brooklyn
8c, 8, brooklyn_site, brooklyn
8d, 8, brooklyn_site, brooklyn
9a, 9, brooklyn_site, brooklyn
9b, 9, brooklyn_site, brooklyn
9c, 9, brooklyn_site, brooklyn
9d, 9, brooklyn_site, brooklyn
9e, 9, brooklyn_site, brooklyn
9f, 9, brooklyn_site, brooklyn
10a, 10, brooklyn_site, brooklyn
10b, 10, brooklyn_site, brooklyn
10c, 10, brooklyn_site, brooklyn
10d, 10, brooklyn_site, brooklyn
10e, 10, brooklyn_site, brooklyn
10f, 10, brooklyn_site, brooklyn
11a, 11, brooklyn_site, brooklyn
11b, 11, brooklyn_site, brooklyn
11c, 11, brooklyn_site, brooklyn
11d, 11, brooklyn_site, brooklyn
11e, 11, brooklyn_site, brooklyn
12a, 12, brooklyn_site, brooklyn
12b, 12, brooklyn_site, brooklyn
12c, 12, brooklyn_site, brooklyn
12d, 12, brooklyn_site, brooklyn
13a, 13, brooklyn_site, brooklyn
13b, 13, brooklyn_site, brooklyn
13c, 13, brooklyn_site, brooklyn
13d, 13, brooklyn_site, brooklyn
14a, 14, brooklyn_site, brooklyn
14b, 14, brooklyn_site, brooklyn
14c, 14, brooklyn_site, brooklyn
14d, 14, brooklyn_site, brooklyn
14e, 14, brooklyn_site, brooklyn
14f, 14, brooklyn_site, brooklyn
14g, 14, brooklyn_site, brooklyn
14h, 14, brooklyn_site, brooklyn
15a, 15, brooklyn_site, brooklyn
15b, 15, brooklyn_site, brooklyn
15c, 15, brooklyn_site, brooklyn
15d, 15, brooklyn_site, brooklyn
15e, 15, brooklyn_site, brooklyn
15f, 15, brooklyn_site, brooklyn
16a, 16, brooklyn_site, brooklyn
16b, 16, brooklyn_site, brooklyn
16c, 16, brooklyn_site, brooklyn
16d, 16, brooklyn_site, brooklyn
16e, 16, brooklyn_site, brooklyn
17a, 17, brooklyn_site, brooklyn
17b, 17, brooklyn_site, brooklyn
17c, 17, brooklyn_site, brooklyn
17d, 17, brooklyn_site, brooklyn
17e, 17, brooklyn_site, brooklyn
18a, 18, brooklyn_site, brooklyn
18b, 18, brooklyn_site, brooklyn
18c, 18, brooklyn_site, brooklyn
18d, 18, brooklyn_site, brooklyn
18e, 18, brooklyn_site, brooklyn
19a, 19, brooklyn_site, brooklyn
19b, 19, brooklyn_site, brooklyn
19c, 19, brooklyn_site, brooklyn
19d, 19, brooklyn_site, brooklyn
19e, 19, brooklyn_site, brooklyn
20a, 20, brooklyn_site, brooklyn
20b, 20, brooklyn_site, brooklyn
