BOROUGH,HOPE Area,Team Number,Needs NYPD?,Hard to Reach,Park,Station,Route,End of Line,Precinct,Training Site,
K,1211,1,NO,,,,,,63,Brooklyn College,
K,1215,1,NO,,,,,,63,Brooklyn College,
K,1251,1,YES,,,,,,63,Brooklyn College,
K,1261,1,YES,,,,,,63,Brooklyn College,
K,1270,2,NO,,,,,,63,Brooklyn College,
K,1275,2,NO,,,,,,63,Brooklyn College,
K,1284,2,NO,,,,,,63,Brooklyn College,
K,1548,3,NO,,,,,,63,Brooklyn College,
K,1557,3,NO,,,,,,63,Brooklyn College,
K,1565,3,NO,,,,,,63,Brooklyn College,
K,1693,2,NO,,,,,,63,Brooklyn College,
K,494,4,YES,,,,,,67,Brooklyn College,
K,496,4,YES,,,,,,67,Brooklyn College,
K,499,4,YES,,,,,,67,Brooklyn College,
K,500,5,YES,,,,,,67,Brooklyn College,
K,1162,7,YES,,,,,,67,Brooklyn College,
K,1164,7,YES,,,,,,67,Brooklyn College,
K,1168,7,YES,,,,,,67,Brooklyn College,
K,1173,8,YES,,,,,,67,Brooklyn College,
K,1180,5,YES,,,,,,67,Brooklyn College,
K,1186,6,YES,,,,,,67,Brooklyn College,
K,1190,7,YES,,,,,,67,Brooklyn College,
K,1206,8,YES,,,,,,67,Brooklyn College,
K,1210,8,YES,,,,,,67,Brooklyn College,
K,1223,5,YES,,,,,,67,Brooklyn College,
K,1232,6,YES,,,,,,67,Brooklyn College,
K,1234,6,YES,,,,,,67,Brooklyn College,
T,358,8,YES,,,Newkirk Av,2-5,,67,Brooklyn College,
K,1425,9,YES,,,,,,69,Brooklyn College,
K,1493,9,YES,,,,,,69,Brooklyn College,
K,1498,9,YES,,,,,,69,Brooklyn College,
K,1508,10,NO,,,,,,69,Brooklyn College,
K,1531,10,NO,,,,,,69,Brooklyn College,
K,1690,10,NO,,1,,,,69,Brooklyn College,Canarsie Park
T,136,9,NO,,,New Lots Av,L,,69,Brooklyn College,
K,601,11,NO,,,,,,70,Brooklyn College,
K,602,11,YES,,,,,,70,Brooklyn College,
K,604,11,YES,,,,,,70,Brooklyn College,
K,906,14,NO,,,,,,70,Brooklyn College,
K,909,14,NO,,,,,,70,Brooklyn College,
K,911,12,NO,,,,,,70,Brooklyn College,
K,1007,12,NO,,,,,,70,Brooklyn College,
K,1016,14,NO,,,,,,70,Brooklyn College,
K,1028,15,NO,,,,,,70,Brooklyn College,
K,1030,15,NO,,,,,,70,Brooklyn College,
K,1041,13,NO,,,,,,70,Brooklyn College,
K,1049,15,NO,,,,,,70,Brooklyn College,
K,1074,13,YES,,,,,,70,Brooklyn College,
K,1095,13,YES,,,,,,70,Brooklyn College,
K,1096,13,YES,,,,,,70,Brooklyn College,
T,45,12,NO,,,Beverly Rd,B-Q,,70,Brooklyn College,
T,48,15,NO,,,Av H,B-Q,,70,Brooklyn College,
T,50,15,NO,,,Av M,B-Q,,70,Brooklyn College,
T,245,14,NO,,,18 Av,F,,70,Brooklyn College,
T,359,EOL,NO,,,Brooklyn College - Flatbush Ave,2-5,1,70,Brooklyn College,
K,950,3,NO,,,,,,60,PS100,
K,951,3,YES,,,,,,60,PS100,
K,997,2,NO,,,,,,60,PS100,
K,998,3,NO,,,,,,60,PS100,
K,999,2,NO,,,,,,60,PS100,
K,1584,2,NO,,,,,,60,PS100,
K,1585,2,NO,,,,,,60,PS100,
K,1588,1,NO,,,,,,60,PS100,
K,1590,1,NO,,,,,,60,PS100,
K,1591,2,NO,,,,,,60,PS100,
K,1592,1,NO,,,,,,60,PS100,
K,1597,5,NO,,,,,,60,PS100,
K,1603,4,NO,,,,,,60,PS100,
K,1605,5,NO,,,,,,60,PS100,
K,1607,5,NO,,,,,,60,PS100,
K,1609,4,NO,,,,,,60,PS100,
K,1618,4,NO,,,,,,60,PS100,
K,1634,1,NO,,,,,,60,PS100,
T,57,5,YES,,,W 8 St - NY Aquarium,F-Q,,60,PS100,
T,58,EOL,YES,,,Coney Island - Stillwell Av,D-F-N-Q,1,60,PS100,
T,79,3,YES,,,Gravesend - 86 St,N,,60,PS100,
K,958,3,NO,,,,,,61,PS100,
K,976,11,NO,,,,,,61,PS100,
K,982,10,NO,,,,,,61,PS100,
K,983,10,NO,,,,,,61,PS100,
K,990,10,NO,,,,,,61,PS100,
K,996,11,NO,,,,,,61,PS100,
K,1056,9,NO,,,,,,61,PS100,
K,1058,9,NO,,,,,,61,PS100,
K,1085,9,NO,,,,,,61,PS100,
K,1107,8,NO,,,,,,61,PS100,
K,1108,8,NO,,,,,,61,PS100,
K,1112,8,NO,,,,,,61,PS100,
K,1113,8,NO,,,,,,61,PS100,
K,1114,9,NO,,,,,,61,PS100,
K,1120,7,NO,,,,,,61,PS100,
K,1125,7,NO,,,,,,61,PS100,
K,1130,7,YES,,,,,,61,PS100,
K,1570,6,NO,,,,,,61,PS100,
K,1571,6,NO,,,,,,61,PS100,
K,1646,6,NO,,,,,,61,PS100,
K,1654,11,NO,,1,,,,61,PS100,
K,1674,6,NO,,,,,,61,PS100,
K,1682,6,NO,,,,,,61,PS100,
T,250,10,NO,,,Kings Hwy,F,,61,PS100,
K,817,12,NO,,,,,,62,PS100,
K,837,16,NO,,,,,,62,PS100,
K,840,16,NO,,,,,,62,PS100,
K,841,13,NO,,,,,,62,PS100,
K,842,13,NO,,,,,,62,PS100,
K,844,13,NO,,,,,,62,PS100,
K,852,14,NO,,,,,,62,PS100,
K,854,14,NO,,,,,,62,PS100,
K,864,16,NO,,,,,,62,PS100,
K,876,15,NO,,,,,,62,PS100,
K,878,15,NO,,,,,,62,PS100,
K,953,14,NO,,,,,,62,PS100,
K,1628,HTR,NO,,,,,,62,PS100,
T,64,12,NO,,,71 St,D,,62,PS100,
T,67,16,NO,,,20 Av,D,,62,PS100,
T,68,15,NO,,,Bay Pkwy,D,,62,PS100,
T,73,12,NO,,,New Utrecht Av,N,,62,PS100,
K,597,1,NO,,,,,,66,PS102,
K,600,1,NO,,,,,,66,PS102,
K,662,4,NO,,,,,,66,PS102,
K,666,2,NO,,,,,,66,PS102,
K,670,4,NO,,,,,,66,PS102,
K,680,4,NO,,,,,,66,PS102,
K,684,1,NO,,,,,,66,PS102,
K,685,1,NO,,,,,,66,PS102,
K,686,2,NO,,,,,,66,PS102,
K,693,2,NO,,,,,,66,PS102,
K,699,3,NO,,,,,,66,PS102,
K,700,3,NO,,,,,,66,PS102,
K,710,4,NO,,,,,,66,PS102,
K,711,4,NO,,,,,,66,PS102,
K,883,3,NO,,,,,,66,PS102,
K,889,5,NO,,,,,,66,PS102,
K,893,6,NO,,,,,,66,PS102,
K,894,6,NO,,,,,,66,PS102,
K,903,6,NO,,,,,,66,PS102,
K,904,6,NO,,,,,,66,PS102,
K,905,6,NO,,,,,,66,PS102,
K,968,5,NO,,,,,,66,PS102,
K,1689,5,NO,,,,,,66,PS102,
T,61,3,NO,,,50 St,D,,66,PS102,
T,247,5,NO,,,Bay Pkwy,F,,66,PS102,
K,673,11,YES,,,,,,68,PS102,
K,675,12,NO,,,,,,68,PS102,
K,677,12,NO,,,,,,68,PS102,
K,719,10,NO,,,,,,68,PS102,
K,720,10,YES,,,,,,68,PS102,
K,721,10,NO,,,,,,68,PS102,
K,722,10,NO,,,,,,68,PS102,
K,746,12,NO,,,,,,68,PS102,
K,748,11,YES,,,,,,68,PS102,
K,756,11,YES,,,,,,68,PS102,
K,760,12,NO,,,,,,68,PS102,
K,771,8,NO,,,,,,68,PS102,
K,777,8,NO,,,,,,68,PS102,
K,787,9,NO,,,,,,68,PS102,
